Date,Tickets,Clock In,Clock Out,Elapsed,Total
2/22/2017,CLIN-190,8:12 AM,9:15 AM,1:03:00,19:00:00
2/22/2017,CLIN-207,9:15 AM,12:42 PM,3:27:00,
2/22/2017,CLIN-196,2:00 PM,5:05 PM,3:05:00,
2/22/2017,CLIN-207,5:25 PM,6:25 PM,1:00:00,
2/22/2017,CLIN-196,7:45 PM,8:10 PM,0:25:00,
2/23/2017,CLIN-191,8:20 AM,10:30 AM,2:10:00,
2/23/2017,CLIN-199,11:30 AM,1:00 PM,1:30:00,
2/23/2017,CLIN-202,2:10 PM,4:30 PM,2:20:00,
2/23/2017,CLIN-194,4:30 PM,5:00 PM,0:30:00,
2/24/2017,CLIN-194,8:20 AM,8:50 AM,0:30:00,
2/24/2017,CLIN-196,8:50 AM,10:50 AM,2:00:00,
2/24/2017,CLIN-197,11:15 AM,12:15 PM,1:00:00,
