Date,Tickets,Clock In,Clock Out,Elapsed,Total
3/15/2017,CLIN-216,8:00 AM,10:15 AM,2:15:00,26:30:00
3/15/2017,CLIN-217,10:15 AM,1:45 PM,3:30:00,
3/15/2017,CLIN-219,1:45 PM,2:30 PM,0:45:00,
3/15/2017,CLIN-220,2:30 PM,3:00 PM,0:30:00,
3/15/2017,CLIN-221,3:00 PM,5:00 PM,2:00:00,
3/16/2017,CLIN-221,8:00 AM,12:00 PM,4:00:00,
3/16/2017,CLIN-222,12:00 PM,2:30 PM,2:30:00,
3/16/2017,CLIN-214,2:30 PM,5:00 PM,2:30:00,
3/20/2017,CLIN-223,12:00 PM,1:00 PM,1:00:00,
3/20/2017,CLIN-214,8:00 AM,8:30 AM,0:30:00,
3/20/2017,CLIN-224,8:30 AM,8:45 AM,0:15:00,
3/22/2017,CLIN-214,8:45 AM,10:30 AM,1:45:00,
3/23/2017,CLIN-225,9:45 AM,10:15 AM,0:30:00,
3/23/2017,review,4:00 PM,4:30 PM,0:30:00,
3/24/2017,CLIN-226,8:00 AM,10:00 AM,2:00:00,
3/24/2017,CLIN-227,10:00 AM,10:30 AM,0:30:00,
3/24/2017,CLIN-228,10:30 AM,12:00 PM,1:30:00,
